Quarter,Location,HBName,AdmissionType,Sex,Age,Episodes,LengthOfEpisode,AverageLengthOfEpisode,Stays,LengthOfStay,AverageLengthOfStay,Year,Quarter_single
2020Q4,S08000019,NHS Forth Valley,Emergency Inpatients,Female,60-69 years,549,768,1.39890710382514,521,2481,4.76199616122841,2020,Q4
2021Q1,S08000019,NHS Forth Valley,Emergency Inpatients,Female,60-69 years,556,603,1.08453237410072,533,3314,6.21763602251407,2021,Q1
2021Q2,S08000019,NHS Forth Valley,Emergency Inpatients,Female,60-69 years,579,675,1.16580310880829,564,2556,4.53191489361702,2021,Q2
2021Q3,S08000019,NHS Forth Valley,Emergency Inpatients,Female,60-69 years,610,759,1.24426229508197,590,3016,5.11186440677966,2021,Q3
2021Q4,S08000019,NHS Forth Valley,Emergency Inpatients,Female,60-69 years,571,797,1.39579684763573,561,3512,6.2602495543672,2021,Q4
2022Q1,S08000019,NHS Forth Valley,Emergency Inpatients,Female,60-69 years,559,896,1.60286225402504,541,3076,5.68576709796673,2022,Q1
2022Q2,S08000019,NHS Forth Valley,Emergency Inpatients,Female,60-69 years,621,763,1.22866344605475,584,3238,5.5445205479452,2022,Q2
2022Q3,S08000019,NHS Forth Valley,Emergency Inpatients,Female,60-69 years,636,905,1.42295597484277,617,3425,5.55105348460292,2022,Q3
2022Q4,S08000019,NHS Forth Valley,Emergency Inpatients,Female,60-69 years,603,757,1.25538971807629,563,3422,6.07815275310835,2022,Q4
2017Q4,S08000019,NHS Forth Valley,Emergency Inpatients,Female,70-79 years,664,1588,2.39156626506024,639,6239,9.76369327073552,2017,Q4
2018Q1,S08000019,NHS Forth Valley,Emergency Inpatients,Female,70-79 years,668,1623,2.42964071856287,673,6581,9.77860326894502,2018,Q1
2018Q2,S08000019,NHS Forth Valley,Emergency Inpatients,Female,70-79 years,662,1643,2.48187311178248,662,6844,10.3383685800604,2018,Q2
2018Q3,S08000019,NHS Forth Valley,Emergency Inpatients,Female,70-79 years,682,1492,2.18768328445748,673,6734,10.0059435364042,2018,Q3
2018Q4,S08000019,NHS Forth Valley,Emergency Inpatients,Female,70-79 years,692,1757,2.53901734104046,683,6247,9.14641288433382,2018,Q4
2019Q1,S08000019,NHS Forth Valley,Emergency Inpatients,Female,70-79 years,648,1763,2.72067901234568,644,6478,10.0590062111801,2019,Q1
2019Q2,S08000019,NHS Forth Valley,Emergency Inpatients,Female,70-79 years,771,1859,2.41115434500648,707,6277,8.87835926449788,2019,Q2
2019Q3,S08000019,NHS Forth Valley,Emergency Inpatients,Female,70-79 years,831,970,1.16726835138387,811,6075,7.49075215782984,2019,Q3
2019Q4,S08000019,NHS Forth Valley,Emergency Inpatients,Female,70-79 years,796,1358,1.70603015075377,748,6549,8.75534759358289,2019,Q4
2020Q1,S08000019,NHS Forth Valley,Emergency Inpatients,Female,70-79 years,759,1200,1.58102766798419,736,5843,7.93885869565217,2020,Q1
2020Q2,S08000019,NHS Forth Valley,Emergency Inpatients,Female,70-79 years,541,616,1.13863216266174,491,5418,11.0346232179226,2020,Q2
2020Q3,S08000019,NHS Forth Valley,Emergency Inpatients,Female,70-79 years,715,708,0.99020979020979,663,4286,6.46455505279035,2020,Q3
2020Q4,S08000019,NHS Forth Valley,Emergency Inpatients,Female,70-79 years,733,1005,1.37107776261937,689,6298,9.14078374455733,2020,Q4
2021Q1,S08000019,NHS Forth Valley,Emergency Inpatients,Female,70-79 years,654,789,1.20642201834862,643,6476,10.0715396578538,2021,Q1
2021Q2,S08000019,NHS Forth Valley,Emergency Inpatients,Female,70-79 years,779,1003,1.28754813863928,728,6453,8.86401098901099,2021,Q2
2021Q3,S08000019,NHS Forth Valley,Emergency Inpatients,Female,70-79 years,701,952,1.35805991440799,667,4592,6.88455772113943,2021,Q3
2021Q4,S08000019,NHS Forth Valley,Emergency Inpatients,Female,70-79 years,749,1179,1.57409879839786,701,6128,8.74179743223966,2021,Q4
2022Q1,S08000019,NHS Forth Valley,Emergency Inpatients,Female,70-79 years,747,1112,1.48862115127175,709,6976,9.8392101551481,2022,Q1
2022Q2,S08000019,NHS Forth Valley,Emergency Inpatients,Female,70-79 years,858,1404,1.63636363636364,829,7918,9.55126658624849,2022,Q2
2022Q3,S08000019,NHS Forth Valley,Emergency Inpatients,Female,70-79 years,782,1141,1.45907928388747,724,6131,8.4682320441989,2022,Q3
2022Q4,S08000019,NHS Forth Valley,Emergency Inpatients,Female,70-79 years,775,1385,1.78709677419355,735,7924,10.7809523809524,2022,Q4
2017Q4,S08000019,NHS Forth Valley,Emergency Inpatients,Female,80-89 years,727,2043,2.8101788170564,695,9369,13.4805755395683,2017,Q4
2018Q1,S08000019,NHS Forth Valley,Emergency Inpatients,Female,80-89 years,661,2189,3.31164901664145,677,9607,14.1905465288035,2018,Q1
2018Q2,S08000019,NHS Forth Valley,Emergency Inpatients,Female,80-89 years,657,1846,2.80974124809741,657,8717,13.2678843226788,2018,Q2
2018Q3,S08000019,NHS Forth Valley,Emergency Inpatients,Female,80-89 years,622,1577,2.53536977491961,601,8120,13.5108153078203,2018,Q3
2018Q4,S08000019,NHS Forth Valley,Emergency Inpatients,Female,80-89 years,626,1697,2.71086261980831,637,9599,15.0690737833595,2018,Q4
2019Q1,S08000019,NHS Forth Valley,Emergency Inpatients,Female,80-89 years,642,1841,2.86760124610592,630,8021,12.731746031746,2019,Q1
2019Q2,S08000019,NHS Forth Valley,Emergency Inpatients,Female,80-89 years,743,2059,2.77119784656797,663,8576,12.9351432880845,2019,Q2
2019Q3,S08000019,NHS Forth Valley,Emergency Inpatients,Female,80-89 years,822,954,1.16058394160584,766,9267,12.097911227154,2019,Q3
2019Q4,S08000019,NHS Forth Valley,Emergency Inpatients,Female,80-89 years,786,1039,1.32188295165394,734,9889,13.4727520435967,2019,Q4
2020Q1,S08000019,NHS Forth Valley,Emergency Inpatients,Female,80-89 years,721,1071,1.48543689320388,724,10664,14.7292817679558,2020,Q1
2020Q2,S08000019,NHS Forth Valley,Emergency Inpatients,Female,80-89 years,586,677,1.15529010238908,508,6416,12.6299212598425,2020,Q2
2020Q3,S08000019,NHS Forth Valley,Emergency Inpatients,Female,80-89 years,679,905,1.33284241531664,643,7078,11.0077760497667,2020,Q3
2020Q4,S08000019,NHS Forth Valley,Emergency Inpatients,Female,80-89 years,667,1051,1.57571214392804,616,6810,11.0551948051948,2020,Q4
2021Q1,S08000019,NHS Forth Valley,Emergency Inpatients,Female,80-89 years,639,877,1.37245696400626,599,8049,13.4373956594324,2021,Q1
2021Q2,S08000019,NHS Forth Valley,Emergency Inpatients,Female,80-89 years,779,1173,1.50577663671374,737,8181,11.1004070556309,2021,Q2
2021Q3,S08000019,NHS Forth Valley,Emergency Inpatients,Female,80-89 years,656,908,1.38414634146341,615,7889,12.8276422764228,2021,Q3
2021Q4,S08000019,NHS Forth Valley,Emergency Inpatients,Female,80-89 years,691,1189,1.72069464544139,639,8052,12.6009389671362,2021,Q4
2022Q1,S08000019,NHS Forth Valley,Emergency Inpatients,Female,80-89 years,689,1140,1.65457184325109,655,10719,16.3648854961832,2022,Q1
2022Q2,S08000019,NHS Forth Valley,Emergency Inpatients,Female,80-89 years,753,1015,1.34794156706507,703,10113,14.3854907539118,2022,Q2
2022Q3,S08000019,NHS Forth Valley,Emergency Inpatients,Female,80-89 years,663,1327,2.00150829562594,621,9926,15.9838969404187,2022,Q3
2022Q4,S08000019,NHS Forth Valley,Emergency Inpatients,Female,80-89 years,696,1156,1.66091954022989,679,11098,16.3446244477172,2022,Q4
2017Q4,S08000019,NHS Forth Valley,Emergency Inpatients,Female,90 years and over,205,463,2.25853658536585,205,3363,16.4048780487805,2017,Q4
2018Q1,S08000019,NHS Forth Valley,Emergency Inpatients,Female,90 years and over,190,505,2.65789473684211,183,3669,20.0491803278689,2018,Q1
2018Q2,S08000019,NHS Forth Valley,Emergency Inpatients,Female,90 years and over,198,649,3.27777777777778,185,4485,24.2432432432432,2018,Q2
2018Q3,S08000019,NHS Forth Valley,Emergency Inpatients,Female,90 years and over,175,434,2.48,194,4676,24.1030927835052,2018,Q3
2018Q4,S08000019,NHS Forth Valley,Emergency Inpatients,Female,90 years and over,258,785,3.04263565891473,248,4389,17.6975806451613,2018,Q4
2019Q1,S08000019,NHS Forth Valley,Emergency Inpatients,Female,90 years and over,186,487,2.61827956989247,193,2913,15.0932642487047,2019,Q1
2019Q2,S08000019,NHS Forth Valley,Emergency Inpatients,Female,90 years and over,217,1034,4.76497695852535,202,3579,17.7178217821782,2019,Q2
2019Q3,S08000019,NHS Forth Valley,Emergency Inpatients,Female,90 years and over,226,521,2.30530973451327,211,3370,15.9715639810427,2019,Q3
2019Q4,S08000019,NHS Forth Valley,Emergency Inpatients,Female,90 years and over,254,300,1.18110236220472,236,3566,15.1101694915254,2019,Q4
2020Q1,S08000019,NHS Forth Valley,Emergency Inpatients,Female,90 years and over,210,390,1.85714285714286,205,4054,19.7756097560976,2020,Q1
2020Q2,S08000019,NHS Forth Valley,Emergency Inpatients,Female,90 years and over,158,201,1.27215189873418,130,2223,17.1,2020,Q2
2020Q3,S08000019,NHS Forth Valley,Emergency Inpatients,Female,90 years and over,193,224,1.16062176165803,162,2387,14.7345679012346,2020,Q3
2020Q4,S08000019,NHS Forth Valley,Emergency Inpatients,Female,90 years and over,218,312,1.43119266055046,200,2806,14.03,2020,Q4
2021Q1,S08000019,NHS Forth Valley,Emergency Inpatients,Female,90 years and over,195,224,1.14871794871795,183,2297,12.551912568306,2021,Q1
2021Q2,S08000019,NHS Forth Valley,Emergency Inpatients,Female,90 years and over,220,260,1.18181818181818,203,3728,18.3645320197044,2021,Q2
2021Q3,S08000019,NHS Forth Valley,Emergency Inpatients,Female,90 years and over,182,259,1.42307692307692,159,2451,15.4150943396226,2021,Q3
2021Q4,S08000019,NHS Forth Valley,Emergency Inpatients,Female,90 years and over,201,501,2.49253731343284,197,3724,18.9035532994924,2021,Q4
2022Q1,S08000019,NHS Forth Valley,Emergency Inpatients,Female,90 years and over,219,335,1.5296803652968,199,3589,18.035175879397,2022,Q1
2022Q2,S08000019,NHS Forth Valley,Emergency Inpatients,Female,90 years and over,195,288,1.47692307692308,193,4057,21.020725388601,2022,Q2
2022Q3,S08000019,NHS Forth Valley,Emergency Inpatients,Female,90 years and over,203,457,2.2512315270936,191,4198,21.979057591623,2022,Q3
2022Q4,S08000019,NHS Forth Valley,Emergency Inpatients,Female,90 years and over,207,343,1.65700483091787,186,3711,19.9516129032258,2022,Q4
2017Q4,S08000019,NHS Forth Valley,Emergency Inpatients,Male,0-9 years,10,34,3.4,10,34,3.4,2017,Q4
2018Q1,S08000019,NHS Forth Valley,Emergency Inpatients,Male,0-9 years,5,28,5.6,5,28,5.6,2018,Q1
2018Q2,S08000019,NHS Forth Valley,Emergency Inpatients,Male,0-9 years,10,7,0.7,10,7,0.7,2018,Q2
2018Q3,S08000019,NHS Forth Valley,Emergency Inpatients,Male,0-9 years,24,10,0.416666666666667,24,10,0.416666666666667,2018,Q3
2018Q4,S08000019,NHS Forth Valley,Emergency Inpatients,Male,0-9 years,25,42,1.68,25,42,1.68,2018,Q4
2019Q1,S08000019,NHS Forth Valley,Emergency Inpatients,Male,0-9 years,34,13,0.382352941176471,34,13,0.382352941176471,2019,Q1
2019Q2,S08000019,NHS Forth Valley,Emergency Inpatients,Male,0-9 years,25,5,0.2,25,5,0.2,2019,Q2
2019Q3,S08000019,NHS Forth Valley,Emergency Inpatients,Male,0-9 years,36,0,0,36,0,0,2019,Q3
2019Q4,S08000019,NHS Forth Valley,Emergency Inpatients,Male,0-9 years,21,0,0,21,0,0,2019,Q4
2020Q1,S08000019,NHS Forth Valley,Emergency Inpatients,Male,0-9 years,37,16,0.432432432432432,37,16,0.432432432432432,2020,Q1
2020Q2,S08000019,NHS Forth Valley,Emergency Inpatients,Male,0-9 years,10,8,0.8,10,8,0.8,2020,Q2
2020Q3,S08000019,NHS Forth Valley,Emergency Inpatients,Male,0-9 years,20,0,0,20,0,0,2020,Q3
2020Q4,S08000019,NHS Forth Valley,Emergency Inpatients,Male,0-9 years,26,0,0,26,0,0,2020,Q4
2021Q1,S08000019,NHS Forth Valley,Emergency Inpatients,Male,0-9 years,34,0,0,34,5,0.147058823529412,2021,Q1
2021Q2,S08000019,NHS Forth Valley,Emergency Inpatients,Male,0-9 years,41,0,0,41,0,0,2021,Q2
2021Q3,S08000019,NHS Forth Valley,Emergency Inpatients,Male,0-9 years,35,0,0,35,0,0,2021,Q3
2021Q4,S08000019,NHS Forth Valley,Emergency Inpatients,Male,0-9 years,38,0,0,38,0,0,2021,Q4
2022Q1,S08000019,NHS Forth Valley,Emergency Inpatients,Male,0-9 years,22,0,0,22,0,0,2022,Q1
2022Q2,S08000019,NHS Forth Valley,Emergency Inpatients,Male,0-9 years,5,26,5.2,5,26,5.2,2022,Q2
2022Q3,S08000019,NHS Forth Valley,Emergency Inpatients,Male,0-9 years,13,5,0.384615384615385,13,5,0.384615384615385,2022,Q3
2022Q4,S08000019,NHS Forth Valley,Emergency Inpatients,Male,0-9 years,5,0,0,5,0,0,2022,Q4
2017Q4,S08000019,NHS Forth Valley,Emergency Inpatients,Male,10-19 years,74,121,1.63513513513514,73,142,1.94520547945205,2017,Q4
2018Q1,S08000019,NHS Forth Valley,Emergency Inpatients,Male,10-19 years,57,67,1.17543859649123,58,188,3.24137931034483,2018,Q1
2018Q2,S08000019,NHS Forth Valley,Emergency Inpatients,Male,10-19 years,73,78,1.06849315068493,73,102,1.3972602739726,2018,Q2
2018Q3,S08000019,NHS Forth Valley,Emergency Inpatients,Male,10-19 years,76,83,1.09210526315789,76,102,1.34210526315789,2018,Q3
2018Q4,S08000019,NHS Forth Valley,Emergency Inpatients,Male,10-19 years,62,78,1.25806451612903,62,93,1.5,2018,Q4
2019Q1,S08000019,NHS Forth Valley,Emergency Inpatients,Male,10-19 years,62,53,0.854838709677419,62,55,0.887096774193548,2019,Q1
2019Q2,S08000019,NHS Forth Valley,Emergency Inpatients,Male,10-19 years,76,76,1,75,200,2.66666666666667,2019,Q2
2019Q3,S08000019,NHS Forth Valley,Emergency Inpatients,Male,10-19 years,81,46,0.567901234567901,80,62,0.775,2019,Q3
2019Q4,S08000019,NHS Forth Valley,Emergency Inpatients,Male,10-19 years,77,42,0.545454545454545,77,66,0.857142857142857,2019,Q4
2020Q1,S08000019,NHS Forth Valley,Emergency Inpatients,Male,10-19 years,64,45,0.703125,63,176,2.79365079365079,2020,Q1
2020Q2,S08000019,NHS Forth Valley,Emergency Inpatients,Male,10-19 years,41,22,0.536585365853659,40,35,0.875,2020,Q2
2020Q3,S08000019,NHS Forth Valley,Emergency Inpatients,Male,10-19 years,58,31,0.53448275862069,55,55,1,2020,Q3
2020Q4,S08000019,NHS Forth Valley,Emergency Inpatients,Male,10-19 years,58,80,1.37931034482759,57,202,3.54385964912281,2020,Q4
2021Q1,S08000019,NHS Forth Valley,Emergency Inpatients,Male,10-19 years,49,23,0.469387755102041,47,30,0.638297872340426,2021,Q1
2021Q2,S08000019,NHS Forth Valley,Emergency Inpatients,Male,10-19 years,66,54,0.818181818181818,65,88,1.35384615384615,2021,Q2
2021Q3,S08000019,NHS Forth Valley,Emergency Inpatients,Male,10-19 years,77,48,0.623376623376623,76,87,1.14473684210526,2021,Q3
2021Q4,S08000019,NHS Forth Valley,Emergency Inpatients,Male,10-19 years,70,80,1.14285714285714,68,69,1.01470588235294,2021,Q4
2022Q1,S08000019,NHS Forth Valley,Emergency Inpatients,Male,10-19 years,69,33,0.478260869565217,68,46,0.676470588235294,2022,Q1
2022Q2,S08000019,NHS Forth Valley,Emergency Inpatients,Male,10-19 years,68,39,0.573529411764706,67,58,0.865671641791045,2022,Q2
2022Q3,S08000019,NHS Forth Valley,Emergency Inpatients,Male,10-19 years,70,40,0.571428571428571,68,83,1.22058823529412,2022,Q3
2022Q4,S08000019,NHS Forth Valley,Emergency Inpatients,Male,10-19 years,83,25,0.301204819277108,83,63,0.759036144578313,2022,Q4
2017Q4,S08000019,NHS Forth Valley,Emergency Inpatients,Male,20-29 years,201,246,1.22388059701493,199,459,2.30653266331658,2017,Q4
2018Q1,S08000019,NHS Forth Valley,Emergency Inpatients,Male,20-29 years,168,207,1.23214285714286,166,320,1.92771084337349,2018,Q1
2018Q2,S08000019,NHS Forth Valley,Emergency Inpatients,Male,20-29 years,204,302,1.48039215686275,203,559,2.75369458128079,2018,Q2
2018Q3,S08000019,NHS Forth Valley,Emergency Inpatients,Male,20-29 years,208,230,1.10576923076923,207,459,2.21739130434783,2018,Q3
2018Q4,S08000019,NHS Forth Valley,Emergency Inpatients,Male,20-29 years,168,208,1.23809523809524,165,356,2.15757575757576,2018,Q4
2019Q1,S08000019,NHS Forth Valley,Emergency Inpatients,Male,20-29 years,191,239,1.25130890052356,187,407,2.17647058823529,2019,Q1
2019Q2,S08000019,NHS Forth Valley,Emergency Inpatients,Male,20-29 years,234,230,0.982905982905983,228,518,2.2719298245614,2019,Q2
2019Q3,S08000019,NHS Forth Valley,Emergency Inpatients,Male,20-29 years,269,218,0.810408921933085,258,548,2.12403100775194,2019,Q3
2019Q4,S08000019,NHS Forth Valley,Emergency Inpatients,Male,20-29 years,234,223,0.952991452991453,223,496,2.22421524663677,2019,Q4
2020Q1,S08000019,NHS Forth Valley,Emergency Inpatients,Male,20-29 years,227,178,0.784140969162996,224,351,1.56696428571429,2020,Q1
2020Q2,S08000019,NHS Forth Valley,Emergency Inpatients,Male,20-29 years,163,106,0.650306748466258,162,383,2.3641975308642,2020,Q2
2020Q3,S08000019,NHS Forth Valley,Emergency Inpatients,Male,20-29 years,203,125,0.61576354679803,197,288,1.46192893401015,2020,Q3
2020Q4,S08000019,NHS Forth Valley,Emergency Inpatients,Male,20-29 years,185,176,0.951351351351351,176,334,1.89772727272727,2020,Q4
2021Q1,S08000019,NHS Forth Valley,Emergency Inpatients,Male,20-29 years,197,170,0.862944162436548,183,365,1.99453551912568,2021,Q1
2021Q2,S08000019,NHS Forth Valley,Emergency Inpatients,Male,20-29 years,220,149,0.677272727272727,219,439,2.00456621004566,2021,Q2
2021Q3,S08000019,NHS Forth Valley,Emergency Inpatients,Male,20-29 years,193,144,0.746113989637306,193,375,1.94300518134715,2021,Q3
2021Q4,S08000019,NHS Forth Valley,Emergency Inpatients,Male,20-29 years,212,259,1.22169811320755,208,981,4.71634615384615,2021,Q4
2022Q1,S08000019,NHS Forth Valley,Emergency Inpatients,Male,20-29 years,211,155,0.734597156398104,210,335,1.5952380952381,2022,Q1
2022Q2,S08000019,NHS Forth Valley,Emergency Inpatients,Male,20-29 years,196,201,1.02551020408163,193,304,1.57512953367876,2022,Q2
2022Q3,S08000019,NHS Forth Valley,Emergency Inpatients,Male,20-29 years,212,201,0.94811320754717,200,376,1.88,2022,Q3
2022Q4,S08000019,NHS Forth Valley,Emergency Inpatients,Male,20-29 years,212,173,0.816037735849057,209,430,2.05741626794258,2022,Q4
2017Q4,S08000019,NHS Forth Valley,Emergency Inpatients,Male,30-39 years,209,306,1.46411483253589,209,619,2.96172248803828,2017,Q4
2018Q1,S08000019,NHS Forth Valley,Emergency Inpatients,Male,30-39 years,260,304,1.16923076923077,250,591,2.364,2018,Q1
2018Q2,S08000019,NHS Forth Valley,Emergency Inpatients,Male,30-39 years,240,321,1.3375,242,926,3.82644628099174,2018,Q2
2018Q3,S08000019,NHS Forth Valley,Emergency Inpatients,Male,30-39 years,243,410,1.68724279835391,238,662,2.78151260504202,2018,Q3
2018Q4,S08000019,NHS Forth Valley,Emergency Inpatients,Male,30-39 years,215,315,1.46511627906977,216,783,3.625,2018,Q4
2019Q1,S08000019,NHS Forth Valley,Emergency Inpatients,Male,30-39 years,246,715,2.90650406504065,241,1305,5.4149377593361,2019,Q1
2019Q2,S08000019,NHS Forth Valley,Emergency Inpatients,Male,30-39 years,324,276,0.851851851851852,314,778,2.47770700636943,2019,Q2
2019Q3,S08000019,NHS Forth Valley,Emergency Inpatients,Male,30-39 years,351,298,0.849002849002849,345,537,1.55652173913043,2019,Q3
2019Q4,S08000019,NHS Forth Valley,Emergency Inpatients,Male,30-39 years,332,337,1.01506024096386,326,701,2.15030674846626,2019,Q4
2020Q1,S08000019,NHS Forth Valley,Emergency Inpatients,Male,30-39 years,294,267,0.908163265306122,285,545,1.91228070175439,2020,Q1
2020Q2,S08000019,NHS Forth Valley,Emergency Inpatients,Male,30-39 years,273,205,0.750915750915751,266,499,1.87593984962406,2020,Q2
2020Q3,S08000019,NHS Forth Valley,Emergency Inpatients,Male,30-39 years,296,257,0.868243243243243,292,601,2.05821917808219,2020,Q3
2020Q4,S08000019,NHS Forth Valley,Emergency Inpatients,Male,30-39 years,271,218,0.804428044280443,269,651,2.42007434944238,2020,Q4
2021Q1,S08000019,NHS Forth Valley,Emergency Inpatients,Male,30-39 years,280,176,0.628571428571429,262,462,1.76335877862595,2021,Q1
2021Q2,S08000019,NHS Forth Valley,Emergency Inpatients,Male,30-39 years,375,346,0.922666666666667,357,680,1.9047619047619,2021,Q2
2021Q3,S08000019,NHS Forth Valley,Emergency Inpatients,Male,30-39 years,341,306,0.897360703812317,337,710,2.10682492581602,2021,Q3
2021Q4,S08000019,NHS Forth Valley,Emergency Inpatients,Male,30-39 years,294,396,1.3469387755102,291,936,3.21649484536082,2021,Q4
2022Q1,S08000019,NHS Forth Valley,Emergency Inpatients,Male,30-39 years,276,246,0.891304347826087,263,557,2.11787072243346,2022,Q1
2022Q2,S08000019,NHS Forth Valley,Emergency Inpatients,Male,30-39 years,353,309,0.875354107648725,348,737,2.11781609195402,2022,Q2
2022Q3,S08000019,NHS Forth Valley,Emergency Inpatients,Male,30-39 years,308,303,0.983766233766234,291,613,2.10652920962199,2022,Q3
2022Q4,S08000019,NHS Forth Valley,Emergency Inpatients,Male,30-39 years,321,264,0.822429906542056,316,636,2.0126582278481,2022,Q4
2017Q4,S08000019,NHS Forth Valley,Emergency Inpatients,Male,40-49 years,256,383,1.49609375,263,1462,5.55893536121673,2017,Q4
2018Q1,S08000019,NHS Forth Valley,Emergency Inpatients,Male,40-49 years,313,599,1.91373801916933,304,1188,3.9078947368421,2018,Q1
2018Q2,S08000019,NHS Forth Valley,Emergency Inpatients,Male,40-49 years,298,350,1.1744966442953,299,1093,3.65551839464883,2018,Q2
2018Q3,S08000019,NHS Forth Valley,Emergency Inpatients,Male,40-49 years,286,449,1.56993006993007,281,995,3.54092526690391,2018,Q3
2018Q4,S08000019,NHS Forth Valley,Emergency Inpatients,Male,40-49 years,286,569,1.98951048951049,285,1221,4.28421052631579,2018,Q4
2019Q1,S08000019,NHS Forth Valley,Emergency Inpatients,Male,40-49 years,277,572,2.06498194945848,276,1381,5.0036231884058,2019,Q1
2019Q2,S08000019,NHS Forth Valley,Emergency Inpatients,Male,40-49 years,401,620,1.54613466334165,383,1006,2.6266318537859,2019,Q2
2019Q3,S08000019,NHS Forth Valley,Emergency Inpatients,Male,40-49 years,378,370,0.978835978835979,365,1100,3.01369863013699,2019,Q3
2019Q4,S08000019,NHS Forth Valley,Emergency Inpatients,Male,40-49 years,366,681,1.86065573770492,349,1645,4.7134670487106,2019,Q4
2020Q1,S08000019,NHS Forth Valley,Emergency Inpatients,Male,40-49 years,343,436,1.27113702623907,335,1201,3.58507462686567,2020,Q1
2020Q2,S08000019,NHS Forth Valley,Emergency Inpatients,Male,40-49 years,296,309,1.04391891891892,283,1089,3.84805653710247,2020,Q2
2020Q3,S08000019,NHS Forth Valley,Emergency Inpatients,Male,40-49 years,360,307,0.852777777777778,337,896,2.65875370919881,2020,Q3
2020Q4,S08000019,NHS Forth Valley,Emergency Inpatients,Male,40-49 years,319,276,0.865203761755486,308,1159,3.76298701298701,2020,Q4
2021Q1,S08000019,NHS Forth Valley,Emergency Inpatients,Male,40-49 years,356,344,0.966292134831461,337,1027,3.04747774480712,2021,Q1
2021Q2,S08000019,NHS Forth Valley,Emergency Inpatients,Male,40-49 years,398,431,1.08291457286432,396,1369,3.45707070707071,2021,Q2
2021Q3,S08000019,NHS Forth Valley,Emergency Inpatients,Male,40-49 years,373,371,0.994638069705094,358,933,2.60614525139665,2021,Q3
2021Q4,S08000019,NHS Forth Valley,Emergency Inpatients,Male,40-49 years,345,366,1.06086956521739,331,1331,4.02114803625378,2021,Q4
2022Q1,S08000019,NHS Forth Valley,Emergency Inpatients,Male,40-49 years,359,312,0.86908077994429,350,1227,3.50571428571429,2022,Q1
2022Q2,S08000019,NHS Forth Valley,Emergency Inpatients,Male,40-49 years,383,340,0.887728459530026,363,821,2.26170798898072,2022,Q2
2022Q3,S08000019,NHS Forth Valley,Emergency Inpatients,Male,40-49 years,359,525,1.46239554317549,351,990,2.82051282051282,2022,Q3
2022Q4,S08000019,NHS Forth Valley,Emergency Inpatients,Male,40-49 years,351,413,1.17663817663818,338,846,2.50295857988166,2022,Q4
2017Q4,S08000019,NHS Forth Valley,Emergency Inpatients,Male,50-59 years,456,787,1.72587719298246,440,1773,4.02954545454545,2017,Q4
2018Q1,S08000019,NHS Forth Valley,Emergency Inpatients,Male,50-59 years,450,840,1.86666666666667,433,2159,4.98614318706697,2018,Q1
2018Q2,S08000019,NHS Forth Valley,Emergency Inpatients,Male,50-59 years,475,718,1.51157894736842,474,2370,5,2018,Q2
2018Q3,S08000019,NHS Forth Valley,Emergency Inpatients,Male,50-59 years,507,770,1.51873767258383,506,2993,5.91501976284585,2018,Q3
2018Q4,S08000019,NHS Forth Valley,Emergency Inpatients,Male,50-59 years,446,686,1.53811659192825,445,2917,6.55505617977528,2018,Q4
2019Q1,S08000019,NHS Forth Valley,Emergency Inpatients,Male,50-59 years,453,784,1.73068432671082,458,2752,6.00873362445415,2019,Q1
2019Q2,S08000019,NHS Forth Valley,Emergency Inpatients,Male,50-59 years,606,847,1.3976897689769,566,2134,3.77031802120141,2019,Q2
2019Q3,S08000019,NHS Forth Valley,Emergency Inpatients,Male,50-59 years,608,771,1.26809210526316,584,2723,4.66267123287671,2019,Q3
2019Q4,S08000019,NHS Forth Valley,Emergency Inpatients,Male,50-59 years,614,513,0.835504885993485,593,2463,4.1534569983136604,2019,Q4
2020Q1,S08000019,NHS Forth Valley,Emergency Inpatients,Male,50-59 years,545,539,0.988990825688073,537,2480,4.61824953445065,2020,Q1
2020Q2,S08000019,NHS Forth Valley,Emergency Inpatients,Male,50-59 years,435,374,0.859770114942529,416,1710,4.11057692307692,2020,Q2
2020Q3,S08000019,NHS Forth Valley,Emergency Inpatients,Male,50-59 years,529,483,0.91304347826087,502,1725,3.43625498007968,2020,Q3
2020Q4,S08000019,NHS Forth Valley,Emergency Inpatients,Male,50-59 years,572,862,1.50699300699301,544,2313,4.25183823529412,2020,Q4
2021Q1,S08000019,NHS Forth Valley,Emergency Inpatients,Male,50-59 years,534,537,1.00561797752809,514,2390,4.64980544747082,2021,Q1
2021Q2,S08000019,NHS Forth Valley,Emergency Inpatients,Male,50-59 years,571,571,1,552,1937,3.50905797101449,2021,Q2
2021Q3,S08000019,NHS Forth Valley,Emergency Inpatients,Male,50-59 years,522,604,1.15708812260536,499,2535,5.08016032064128,2021,Q3
2021Q4,S08000019,NHS Forth Valley,Emergency Inpatients,Male,50-59 years,500,641,1.282,490,3335,6.80612244897959,2021,Q4
2022Q1,S08000019,NHS Forth Valley,Emergency Inpatients,Male,50-59 years,553,668,1.20795660036166,531,2438,4.59133709981168,2022,Q1
2022Q2,S08000019,NHS Forth Valley,Emergency Inpatients,Male,50-59 years,568,961,1.6919014084507,546,2510,4.5970695970696,2022,Q2
2022Q3,S08000019,NHS Forth Valley,Emergency Inpatients,Male,50-59 years,530,597,1.12641509433962,509,2560,5.0294695481336,2022,Q3
